Index,Type 类别,Title 电影,Director 导演,Writer 编剧,Actor 主演,Rank 排名,Score 打分,Votes 人数,Comment 短评,Review 影评,Alias 别名,Year 年份,Region 地区,Genre 类型,Length 片长,IMDb
273,电影,[追随 Following](https://movie.douban.com/subject/1397546/),克里斯托弗·诺兰,克里斯托弗·诺兰,杰里米·西奥伯德 / 亚历克斯·霍 / ...,🎉---,🌟8.9,185044,54229,380,Following / 跟踪(台) / 致命追踪 / 尾随,1998,英国,悬疑 / 惊悚 / 犯罪,69分钟,[tt0154506](https://imdb.com/title/tt0154506)
274,电影,[V字仇杀队 V for Vendetta](https://movie.douban.com/subject/1309046/),詹姆斯·麦克特格,莉莉·沃卓斯基 / 拉娜·沃卓斯基,娜塔莉·波特曼 / 雨果·维文 / ...,🎉---,🌟8.9,600161,114788,1833,V for Vendetta / V煞(港) / V怪客(台) / 复仇者V / V字仇杀令 / V字别动队,2005,美国 / 英国 / 德国,剧情 / 动作 / 科幻 / 惊悚,132分钟,[tt0434409](https://imdb.com/title/tt0434409)
275,电影,[地球上的星星 Taare Zameen Par](https://movie.douban.com/subject/2363506/),阿米尔·汗,阿莫尔·古普特,达席尔·萨法瑞 / 阿米尔·汗 / ...,🎉---,🌟8.9,204574,52132,1182,Taare Zameen Par / 心中的小星星(台) / 每一个孩子都是特别的 / तारे ज़मीन पर / Like Stars on Earth,2007,印度,剧情 / 家庭 / 儿童,165分钟,[tt0986264](https://imdb.com/title/tt0986264)
276,电影,[自闭历程 Temple Grandin](https://movie.douban.com/subject/3236904/),米克·杰克逊,Merritt Johnson / Christopher Monger,克莱尔·丹尼斯 / 朱莉娅·奥蒙德 / ...,🎉---,🌟8.9,68195,20356,436,Temple Grandin / 星星的孩子(台) / 坦普尔·葛兰汀 / 天宝·葛兰汀 / Temple Grandin：在图像中思考 / 唐普尔·格兰丁 / 自闭人生,2010,美国,剧情 / 传记,107分钟,[tt1278469](https://imdb.com/title/tt1278469)
277,电影,[勇士 Warrior](https://movie.douban.com/subject/3217169/),加文·欧康诺,加文·欧康诺 / 安东尼·塔姆巴基斯,汤姆·哈迪 / 乔尔·埃哲顿 / ...,🎉---,🌟8.9,162796,47811,681,Warrior / 勇者无敌(台) / 钢铁斗士(港) / 武士 / 拳击勇士,2011,美国,剧情 / 家庭 / 运动,140分钟,[tt1291584](https://imdb.com/title/tt1291584)
278,电影,[相助 The Help](https://movie.douban.com/subject/3792848/),泰特·泰勒,泰特·泰勒 / 凯瑟琳·斯托凯特,艾玛·斯通 / 维奥拉·戴维斯 / ...,🎉---,🌟8.9,116184,34263,431,The Help / 姊妹(台) / 写出友共鸣(港) / 帮助 / 女仆 / 帮佣,2011,美国 / 印度 / 阿联酋,剧情,146分钟,[tt1454029](https://imdb.com/title/tt1454029)
279,电影,[隐藏人物 Hidden Figures](https://movie.douban.com/subject/26615208/),西奥多·梅尔菲,艾莉森·施罗德 / 西奥多·梅尔菲 / 玛戈特·李·谢特利,塔拉吉·P·汉森 / 奥克塔维亚·斯宾瑟 / ...,🎉---,🌟8.9,219970,62231,638,Hidden Figures / NASA无名英雌(港) / 关键少数(台),2016,美国,剧情 / 传记 / 历史,127分钟,[tt4846340](https://imdb.com/title/tt4846340)
280,电影,[公民凯恩 Citizen Kane](https://movie.douban.com/subject/1292288/),奥逊·威尔斯,赫尔曼·J·曼凯维奇 / 奥逊·威尔斯,奥逊·威尔斯 / 约瑟夫·科顿 / ...,🎉---,🌟8.8,117708,33962,706,Citizen Kane / 大国民(港/台),1941,美国,剧情 / 悬疑,119 分钟,[tt0033467](https://imdb.com/title/tt0033467)
281,电影,[渔童](https://movie.douban.com/subject/1431719/),万古蟾,虞和静,杨文元 / 邱岳峰 / ...,🎉---,🌟8.8,26630,3193,21,渔童,1959,中国大陆,动画 / 短片,23分钟,[tt6822688](https://imdb.com/title/tt6822688)
282,电影,[没头脑和不高兴](https://movie.douban.com/subject/1428578/),张松林,任溶溶,邱岳峰 / 姚培华,🎉---,🌟8.8,75232,9518,64,没头脑和不高兴,1962,中国大陆,喜剧 / 动画 / 短片,20分钟,[tt6825352](https://imdb.com/title/tt6825352)
283,电影,[三个和尚](https://movie.douban.com/subject/1431699/),徐景达,包蕾, ,🎉---,🌟8.8,108735,10168,40,三个和尚 / Three Monks,1980,中国大陆,动画 / 短片,20分钟,[tt0133191](https://imdb.com/title/tt0133191)
284,电影,[迷墙 Pink Floyd The Wall](https://movie.douban.com/subject/1296157/),艾伦·帕克,罗杰·沃特斯,鲍勃·吉尔道夫 / Christine Hargreaves / ...,🎉---,🌟8.8,49656,13766,202,Pink Floyd The Wall / 平克佛洛伊德：迷墙(台) / 平克·弗洛依德的墙 / 暴力迷墙 / The Wall,1982,英国,剧情 / 动画 / 奇幻,95 分钟,[tt0084503](https://imdb.com/title/tt0084503)
285,电影,[上帝也疯狂2 The Gods Must Be Crazy II](https://movie.douban.com/subject/1294490/),加美·尤伊斯,加美·尤伊斯,历苏 / Lena Farugia / ...,🎉---,🌟8.8,57823,10361,67,The Gods Must Be Crazy II / 上帝也疯狂续集 / 上帝一定发疯了 (下) / 众神也疯狂 (下) / 逃脱死亡,1989,南非 / 博茨瓦纳,喜剧,98 分钟,[tt0097443](https://imdb.com/title/tt0097443)
286,电影,[蓝白红三部曲之红 Trois couleurs: Rouge](https://movie.douban.com/subject/1292047/),克日什托夫·基耶斯洛夫斯基,克日什托夫·基耶斯洛夫斯基 / 克日什托夫·皮耶谢维奇 / 阿格涅丝卡·霍兰 / 爱德华·泽布罗夫斯基 / 爱德华·克罗西斯基,伊莲娜·雅各布 / 让-路易·特兰蒂尼昂 / ...,🎉---,🌟8.8,122301,31400,424,Trois couleurs: Rouge / 红 / 红色情深(台) / 三色之红色篇 / 三色：红 / 红色 / Three Colors: Red,1994,法国 / 波兰 / 瑞士,剧情 / 爱情 / 悬疑,99分钟,[tt0111495](https://imdb.com/title/tt0111495)
287,电影,[洛城机密 L.A. Confidential](https://movie.douban.com/subject/1292348/),柯蒂斯·汉森,詹姆斯·艾尔罗伊 / 布莱恩·海尔格兰德 / 柯蒂斯·汉森,凯文·史派西 / 罗素·克劳 / ...,🎉---,🌟8.8,146245,34025,268,L.A. Confidential / 幕后嫌疑犯(港) / 铁面特警队(台) / 洛杉矶机密,1997,美国,剧情 / 悬疑 / 惊悚 / 犯罪,138分钟,[tt0119488](https://imdb.com/title/tt0119488)
288,电影,[枪火 鎗火](https://movie.douban.com/subject/1300741/),杜琪峰,游乃海 / 银河创作组,吴镇宇 / 任达华 / ...,🎉---,🌟8.8,224219,49263,454,鎗火 / The Mission,1999,中国香港,剧情 / 动作 / 犯罪,84分钟(香港),[tt0220644](https://imdb.com/title/tt0220644)
289,电影,[那山那人那狗](https://movie.douban.com/subject/1307766/),霍建起,思芜,滕汝骏 / 刘烨 / ...,🎉---,🌟8.8,126389,34985,759,那山那人那狗 / 那山、那人、那狗 / 那山，那人，那狗 / Postmen In The Mountains,1999,中国大陆,剧情 / 家庭,93分钟,[tt0210916](https://imdb.com/title/tt0210916)
290,电影,[我的邻居山田君 ホーホケキョとなりの山田くん](https://movie.douban.com/subject/1417728/),高畑勋,高畑勋 / 石井寿一,朝丘雪路 / 益冈彻 / ...,🎉---,🌟8.8,53451,15860,182,ホーホケキョとなりの山田くん / 隔壁的山田君(台) / 邻居的山田君 / My Neighbors the Yamadas,1999,日本,喜剧 / 动画 / 家庭,104 分钟,[tt0206013](https://imdb.com/title/tt0206013)
291,电影,[梦之安魂曲 Requiem for a Dream](https://movie.douban.com/subject/1292270/),达伦·阿伦诺夫斯基,小胡伯特·塞尔比 / 达伦·阿伦诺夫斯基,艾伦·伯斯汀 / 杰瑞德·莱托 / ...,🎉---,🌟8.8,197491,62749,879,Requiem for a Dream / 噩梦挽歌(台) / 迷上瘾(港) / 梦的挽歌,2000,美国,剧情,102分钟,[tt0180093](https://imdb.com/title/tt0180093)
292,电影,[跳出我天地 Billy Elliot](https://movie.douban.com/subject/1301169/),史蒂芬·戴德利,李·哈尔,杰米·贝尔 / 朱丽·沃特斯 / ...,🎉---,🌟8.8,108101,28742,525,Billy Elliot / 舞动人生(港/台) / 芭蕾之梦 / 比利·艾略特 / 穷人的孩子爱芭蕾,2000,英国 / 法国,剧情 / 歌舞 / 家庭 / 儿童,110 分钟,[tt0249462](https://imdb.com/title/tt0249462)
293,电影,[名侦探柯南：贝克街的亡灵 名探偵コナン ベイカー街の亡霊](https://movie.douban.com/subject/2286642/),儿玉兼嗣,青山刚昌 / 野泽尚,高山南 / 山崎和佳奈 / ...,🎉---,🌟8.8,264201,59401,350,名探偵コナン ベイカー街の亡霊 / 名侦探柯南：剧场版第6部 / Meitantei Konan: Bekâ Sutorîto no bôrei / Detective Conan: The Phantom of Baker Street,2002,日本,动画 / 悬疑 / 冒险,107分钟 / 108分钟(中国大陆),[tt0990372](https://imdb.com/title/tt0990372)
294,电影,[再见列宁 Good Bye Lenin!](https://movie.douban.com/subject/1292055/),沃尔夫冈·贝克,贝尔恩德·利希滕伯格 / 沃尔夫冈·贝克,丹尼尔·布鲁赫 / 卡特琳·萨斯 / ...,🎉---,🌟8.8,86813,22664,502,Good Bye Lenin! / 快乐的谎言(港) / 再见，列宁！(台) / 民主德国在79平方米房间里的延续 / Goodbye Lenin! / Good bye Lenin! : die DDR lebt weiter - auf 79 qm!,2003,德国,剧情 / 喜剧,121分钟,[tt0301357](https://imdb.com/title/tt0301357)
295,电影,[黑客帝国动画版 The Animatrix](https://movie.douban.com/subject/1292347/),钟彼得 / 安德鲁·R·琼斯 / 川尻善昭 / 小池健 / 前田真宏 / 森本晃司 / 渡边信一郎,莉莉·沃卓斯基 / 川尻善昭 / 森本晃司 / 钟彼得 / 拉娜·沃卓斯基,大塚明夫 / 克莱顿·华生 / ...,🎉---,🌟8.8,49136,9071,97,The Animatrix / 骇客帝国动画版,2003,美国 / 日本,剧情 / 动作 / 科幻 / 动画,100分钟,[tt0328832](https://imdb.com/title/tt0328832)
296,电影,[我们俩](https://movie.douban.com/subject/1756073/),马俪文,马俪文,宫哲 / 金雅琴 / ...,🎉---,🌟8.8,118343,28851,700,我们俩 / Wo men lia / You and Me,2005,中国大陆,剧情,88分钟,[tt0757376](https://imdb.com/title/tt0757376)
297,电影,[我们天上见](https://movie.douban.com/subject/3732800/),蒋雯丽,蒋雯丽,朱旭 / 姚君 / ...,🎉---,🌟8.8,75812,26697,496,我们天上见 / 兰草 / 伞 / Lan,2009,中国大陆,剧情 / 家庭,85分钟,[tt1515202](https://imdb.com/title/tt1515202)
298,电影,[刺猬的优雅 Le hérisson](https://movie.douban.com/subject/3824274/),莫娜·阿查切,莫娜·阿查切 / 妙莉叶·芭贝里,若西安·巴拉斯科 / 佳朗丝·勒·吉耶米克 / ...,🎉---,🌟8.8,151414,53765,1424,Le hérisson / 刺猬优雅 / The Hedgehog / Die Eleganz der Madame Michel,2009,法国 / 意大利,剧情,100分钟,[tt1442519](https://imdb.com/title/tt1442519)
299,电影,[就是这样 This Is It](https://movie.douban.com/subject/3920977/),肯尼·奥特加, ,迈克尔·杰克逊 / Alex Al / ...,🎉---,🌟8.8,92877,20968,878,This Is It / 迈克尔·杰克逊：就是这样 / 天王终点 / 这就是了 / 麦可杰克逊：未来的未来演唱会电影,2009,美国,纪录片 / 音乐,USA: 111 分钟 / Argentina: 112 分钟,[tt1477715](https://imdb.com/title/tt1477715)
300,电影,[再见我们的幼儿园 さよならぼくたちのようちえん](https://movie.douban.com/subject/5960606/),水田伸生,坂元裕二,芦田爱菜 / 满岛光 / ...,🎉---,🌟8.8,114031,42296,683,さよならぼくたちのようちえん / 再见了，我们的幼稚园 / Goodbye to Our Kindergarten / Sayonara bokutachi no youchien,2011,日本,剧情,105分钟,[tt1831754](https://imdb.com/title/tt1831754)
301,电影,[一次别离 جدایی نادر از سیمین](https://movie.douban.com/subject/5964718/),阿斯加·法哈蒂,阿斯加·法哈蒂,佩曼·莫阿迪 / 蕾拉·哈塔米 / ...,🎉---,🌟8.8,248399,75796,1441,"جدایی نادر از سیمین / 伊朗式分居(港) / 分居风暴(台) / 内达与西敏：一次别离 / 纳德和西敏：一次离别 / 纳德和西敏：一次别离 / 别离 / A Separation / Nader and Simin, a Separation / Jodaeiye Nader az Simin",2011,伊朗 / 法国,剧情 / 家庭,123分钟,[tt1832382](https://imdb.com/title/tt1832382)
302,电影,[赛德克·巴莱 賽德克·巴萊](https://movie.douban.com/subject/3993559/),魏德圣,魏德圣,林庆台 / 马志翔 / ...,🎉---,🌟8.8,182898,44034,1307,賽德克·巴萊 / 赛德克·巴莱 (上下)合集 / 赛德克·巴莱 剪辑版 / 真正的人 / Warriors of the Rainbow: Seediq Bale,2012,中国台湾,剧情 / 历史 / 战争,153分钟(中国大陆/国际版),[tt2007993](https://imdb.com/title/tt2007993)
303,电影,[聚焦 Spotlight](https://movie.douban.com/subject/25954475/),汤姆·麦卡锡,乔希·辛格 / 汤姆·麦卡锡,马克·鲁弗洛 / 迈克尔·基顿 / ...,🎉---,🌟8.8,265945,73434,1099,Spotlight / 焦点追击(港) / 惊爆焦点(台),2015,美国,剧情 / 传记,128分钟,[tt1895587](https://imdb.com/title/tt1895587)
304,电影,[四个春天](https://movie.douban.com/subject/27191492/),陆庆屹, ,陆运坤 / 李桂贤 / ...,🎉---,🌟8.8,171470,70148,1566,四个春天 / Four Springs,2017,中国大陆,纪录片 / 家庭,105分钟,[tt7124742](https://imdb.com/title/tt7124742)
305,电影,[卡萨布兰卡 Casablanca](https://movie.douban.com/subject/1296753/),迈克尔·柯蒂兹,朱利叶斯·J·爱泼斯坦 / 菲利普·G·爱泼斯坦 / 霍华德·科克 / 默里·伯内特 / Joan Alison / 凯西·罗宾逊,亨弗莱·鲍嘉 / 英格丽·褒曼 / ...,🎉---,🌟8.7,223264,55058,774,Casablanca / 北非谍影(港/台),1942,美国,剧情 / 爱情 / 战争,102分钟,[tt0034583](https://imdb.com/title/tt0034583)
306,电影,[后窗 Rear Window](https://movie.douban.com/subject/1299080/),阿尔弗雷德·希区柯克,约翰·迈克尔·海耶斯 / 康奈尔·伍尔里奇,詹姆斯·斯图尔特 / 格蕾丝·凯利 / ...,🎉---,🌟8.7,201292,51913,531,Rear Window / Alfred Hitchcock's Rear Window / Fenêtre sur cour,1954,美国,悬疑 / 惊悚,112 分钟,[tt0047396](https://imdb.com/title/tt0047396)
307,电影,[上帝也疯狂 The Gods Must Be Crazy](https://movie.douban.com/subject/1297478/),加美·尤伊斯,加美·尤伊斯,马瑞斯·威尔斯 / Sandra Prinsloo / ...,🎉---,🌟8.7,140081,26813,235,The Gods Must Be Crazy / 众神也疯狂 (上) / 上帝一定发疯了 (上) / 绝境求生,1980,南非 / 博茨瓦纳,喜剧,109 分钟,[tt0080801](https://imdb.com/title/tt0080801)
308,电影,[莫扎特传 Amadeus](https://movie.douban.com/subject/1293399/),米洛斯·福尔曼,彼得·谢弗 / 兹德内克·马勒,F·默里·亚伯拉罕 / 汤姆·休斯克 / ...,🎉---,🌟8.7,96231,22965,522,Amadeus / 阿玛迪斯(台) / 上帝的宠儿 / 阿玛多伊斯 / 莫札特传,1984,美国 / 法国 / 捷克斯洛伐克 / 意大利,剧情 / 音乐 / 传记 / 历史,160分钟 / 180分钟(导演剪辑版),[tt0086879](https://imdb.com/title/tt0086879)
309,电影,[碧海蓝天 Le grand bleu](https://movie.douban.com/subject/1300960/),吕克·贝松,吕克·贝松 / 玛丽莲‧戈登 / 雅克·梅欧,让-马克·巴尔 / 让·雷诺 / ...,🎉---,🌟8.7,144435,38128,1192,Le grand bleu / 碧海情深 / 夜海倾情 / 碧海情 / 大蓝 / The Big Blue,1988,法国 / 意大利,剧情 / 爱情,132分钟(法国) / 168分钟(导演剪辑版),[tt0095250](https://imdb.com/title/tt0095250)
310,电影,[梦 夢](https://movie.douban.com/subject/1299112/),黑泽明,黑泽明,寺尾聪 / 倍赏美津子 / ...,🎉---,🌟8.7,61622,18723,339,夢 / 黑泽明之梦(台) / Dreams,1990,日本 / 美国,剧情 / 奇幻,120分钟,[tt0100998](https://imdb.com/title/tt0100998)
311,电影,[费城故事 Philadelphia](https://movie.douban.com/subject/1293145/),乔纳森·戴米,罗恩·内斯万尼尔,汤姆·汉克斯 / 丹泽尔·华盛顿 / ...,🎉---,🌟8.7,99960,22397,414,Philadelphia / 费城,1993,美国,剧情 / 同性,125分钟,[tt0107818](https://imdb.com/title/tt0107818)
312,电影,[廊桥遗梦 The Bridges of Madison County](https://movie.douban.com/subject/1293929/),克林特·伊斯特伍德,理查德·拉·格拉文斯 / 罗伯特·杰姆斯·沃勒,克林特·伊斯特伍德 / 梅丽尔·斯特里普 / ...,🎉---,🌟8.7,227144,66800,2009,The Bridges of Madison County / 麦迪逊之桥(港/台),1995,美国,剧情 / 爱情,135分钟,[tt0112579](https://imdb.com/title/tt0112579)
313,电影,[麻将 麻將](https://movie.douban.com/subject/1297418/),杨德昌,杨德昌,柯宇纶 / 张震 / ...,🎉---,🌟8.7,48891,15064,264,麻將 / Mahjong,1996,中国台湾,剧情 / 喜剧,121 分钟,[tt0116962](https://imdb.com/title/tt0116962)
314,电影,[燕尾蝶 スワロウテイル](https://movie.douban.com/subject/1307793/),岩井俊二,岩井俊二,恰拉 / 伊藤步 / ...,🎉---,🌟8.7,168697,39334,754,スワロウテイル / Swallowtail Butterfly / Suwarôteiru,1996,日本,剧情 / 犯罪,148分钟,[tt0117797](https://imdb.com/title/tt0117797)
315,电影,[花火 HANA-BI](https://movie.douban.com/subject/1302642/),北野武,北野武,北野武 / 岸本加世子 / ...,🎉---,🌟8.7,121023,34712,491,HANA-BI / はなび / Fireworks,1997,日本,剧情 / 爱情 / 惊悚 / 犯罪,103分钟,[tt0119250](https://imdb.com/title/tt0119250)
316,电影,[中央车站 Central do Brasil](https://movie.douban.com/subject/1292218/),沃尔特·塞勒斯,马科斯·伯恩斯坦 / 若昂·伊曼纽尔·卡耐偌,费尔南达·蒙特内格罗 / 马里利娅·佩拉 / ...,🎉---,🌟8.7,107634,25558,564,Central do Brasil / 开罗：中央车站 / 千年等一天 / Central Station,1998,巴西 / 法国,剧情,110分钟,[tt0140888](https://imdb.com/title/tt0140888)
317,电影,[黑鹰坠落 Black Hawk Down](https://movie.douban.com/subject/1291824/),雷德利·斯科特,肯·诺兰 / 马克·鲍登,乔什·哈奈特 / 伊万·麦克格雷格 / ...,🎉---,🌟8.7,287111,48392,512,Black Hawk Down / 黑鹰15小时(港) / 黑鹰计划(台) / 黑鹰降落,2001,美国 / 英国,动作 / 历史 / 战争,144分钟 / 142分钟(德国) / 152分钟(加长版),[tt0265086](https://imdb.com/title/tt0265086)
318,电影,[名侦探柯南：通向天国的倒计时 名探偵コナン 天国へのカウントダウン](https://movie.douban.com/subject/2357703/),儿玉兼嗣,青山刚昌 / 古内一成,高山南 / 山崎和佳奈 / ...,🎉---,🌟8.7,135902,18044,74,名探偵コナン 天国へのカウントダウン / 名侦探柯南2001：通向天国的倒计时 / 名侦探柯南：剧场版第5部 / Meitantei Conan: Tengoku no countdown / Detective Conan: Count Down to Heaven,2001,日本,动作 / 动画 / 悬疑 / 惊悚,100 分钟,[tt1073223](https://imdb.com/title/tt1073223)
319,电影,[弗里达 Frida](https://movie.douban.com/subject/1291852/),朱丽·泰莫,克兰西·西加尔 / 黛安娜·莱克 / 格雷戈里·内瓦 / 安娜·托马斯,萨尔玛·海耶克 / 阿尔弗雷德·莫里纳 / ...,🎉---,🌟8.7,74542,22121,370,Frida / 笔姬别恋(港) / 挥洒烈爱(台) / 弗莱达,2002,美国 / 墨西哥 / 加拿大,剧情 / 爱情 / 传记,123分钟,[tt0120679](https://imdb.com/title/tt0120679)
320,电影,[疯狂约会美丽都 Les triplettes de Belleville](https://movie.douban.com/subject/1291565/),希尔万·肖默,希尔万·肖默,比阿特丽斯·博尼法西 / 莉娜·布德罗 / ...,🎉---,🌟8.7,87823,24011,293,Les triplettes de Belleville / 佳丽村三姊妹(港) / 佳丽村三姐妹(台) / 美丽城三重唱 / The Triplets of Belleville,2003,法国 / 比利时 / 加拿大 / 英国 / 拉脱维亚,喜剧 / 动画,78分钟,[tt0286244](https://imdb.com/title/tt0286244)
321,电影,[帝企鹅日记 La marche de l'empereur](https://movie.douban.com/subject/1369747/),吕克·雅盖,吕克·雅盖 / 米歇尔·菲思勒,夏尔·贝尔林 / 罗曼娜·波琳热 / ...,🎉---,🌟8.7,85298,13968,258,La marche de l'empereur / 企鹅宝贝：南极的旅程 / 企鹅进行曲 / 小企鹅大长征 / 企鹅的三月 / March of the Penguins / The Emperor's Journey,2005,法国,纪录片,80分钟,[tt0428803](https://imdb.com/title/tt0428803)
322,电影,[我在伊朗长大 Persepolis](https://movie.douban.com/subject/1962116/),文森特·帕兰德 / 玛嘉·莎塔琵,玛嘉·莎塔琵 / 文森特·帕兰德,齐雅拉·马斯楚安尼 / 达尼埃尔·达里约 / ...,🎉---,🌟8.7,126866,32597,602,Persepolis / 茉莉人生(台) / 波斯波利斯,2007,法国 / 美国,剧情 / 动画 / 传记,96分钟 / 89分钟(TV),[tt0808417](https://imdb.com/title/tt0808417)
323,电影,[河童之夏 河童のクゥと夏休み](https://movie.douban.com/subject/2982823/),原惠一,原惠一 / 木暮正夫,富泽风斗 / 横川贵大 / ...,🎉---,🌟8.7,80306,19335,261,河童のクゥと夏休み / 跟河童小咕的暑假时光 / Summer Days with Coo,2007,日本,喜剧 / 动画 / 奇幻,138分钟 / 142分钟(加长版),[tt1179773](https://imdb.com/title/tt1179773)
324,电影,[浪潮 Die Welle](https://movie.douban.com/subject/2297265/),丹尼斯·甘塞尔,丹尼斯·甘塞尔 / 彼得·图万斯 / 约翰尼·道金斯 / 罗恩·比恩巴赫 / 罗恩·琼斯,于尔根·福格尔 / 弗雷德里克·劳 / ...,🎉---,🌟8.7,274649,74129,1829,Die Welle / 恶魔教室(台) / 白恤暴潮(港) / 波浪 / 挥手礼 / The Wave,2008,德国,剧情 / 惊悚,107 分钟,[tt1063669](https://imdb.com/title/tt1063669)
325,电影,[叫我第一名 Front of the Class](https://movie.douban.com/subject/4798888/),彼得·维纳,托马斯·里克曼,詹姆斯·沃克 / 特里特·威廉斯 / ...,🎉---,🌟8.7,196874,49012,776,Front of the Class / 站在教室前 / 讲台前的我 / 开放有爱 / 为人师者,2008,美国,剧情 / 传记,95分钟,[tt1292594](https://imdb.com/title/tt1292594)
326,电影,[李献计历险记](https://movie.douban.com/subject/4226741/),李阳,李阳,年轻优秀的飞行员 / DEERPLAY,🎉---,🌟8.7,111213,28019,301,李献计历险记 / OTAKU之恋 / Lee's Adventures / Life Sucks,2009,中国大陆,动画 / 短片,20分钟,[tt5578886](https://imdb.com/title/tt5578886)
327,电影,[精英部队2：大敌当前 Tropa de Elite 2 - O Inimigo Agora É Outro](https://movie.douban.com/subject/4304402/),何塞·帕迪里亚,何塞·帕迪里亚,瓦格纳·马拉 / 安德烈·拉米罗 / ...,🎉---,🌟8.7,85017,22914,263,Tropa de Elite 2 - O Inimigo Agora É Outro / 精英部队2 / 精锐部队2 / 菁英部队2 / Elite Squad 2 / Elite Squad: The Enemy Within,2010,巴西,剧情 / 动作 / 惊悚 / 犯罪,115分钟(巴西) / 95分钟(中国大陆),[tt1555149](https://imdb.com/title/tt1555149)
328,电影,[悲惨世界 Les Misérables](https://movie.douban.com/subject/6860160/),汤姆·霍伯,威廉姆·尼克尔森 / 阿兰·布伯里勒 / 克洛德-米歇尔·勋伯格 / 赫伯特·克莱茨莫 / 维克多·雨果,休·杰克曼 / 罗素·克劳 / ...,🎉---,🌟8.7,339935,105660,1480,Les Misérables / 孤星泪(港) / 音乐剧《悲惨世界》电影版 / Les Miserables,2012,英国 / 美国,剧情 / 爱情 / 歌舞,157分钟,[tt1707386](https://imdb.com/title/tt1707386)
329,电影,[出租车司机 Taxi Driver](https://movie.douban.com/subject/1292222/),马丁·斯科塞斯,保罗·施拉德,罗伯特·德尼罗 / 朱迪·福斯特 / ...,🎉---,🌟8.6,211174,52039,773,Taxi Driver / 的士司机(港) / 计程车司机(台) / 出租汽车司机,1976,美国,剧情 / 犯罪,113分钟,[tt0075314](https://imdb.com/title/tt0075314)
330,电影,[E.T.外星人 E.T. the Extra-Terrestrial](https://movie.douban.com/subject/1294638/),史蒂文·斯皮尔伯格,梅丽莎·马西森,亨利·托马斯 / 迪·沃伦斯 / ...,🎉---,🌟8.6,330820,47734,316,E.T. the Extra-Terrestrial / 外星人E.T. / 外星人 / ET / E.T. the Extra-Terrestrial / A Boy's Life,1982,美国,剧情 / 科幻,115分钟 / 120分钟(加长版),[tt0083866](https://imdb.com/title/tt0083866)
331,电影,[走出非洲 Out of Africa](https://movie.douban.com/subject/1291840/),西德尼·波拉克,卡琳·布里克森 / 科特·路德特克 / 大卫·雷菲尔德,梅丽尔·斯特里普 / 罗伯特·雷德福 / ...,🎉---,🌟8.6,92061,24356,741,Out of Africa / 非洲之旅(港) / 远离非洲(台),1985,美国,剧情 / 爱情 / 传记 / 冒险,161分钟,[tt0089755](https://imdb.com/title/tt0089755)
332,电影,[柏林苍穹下 Der Himmel über Berlin](https://movie.douban.com/subject/1292504/),维姆·文德斯,维姆·文德斯 / 彼得·汉德克,布鲁诺·冈茨 / 索尔维格·多马尔坦 / ...,🎉---,🌟8.6,47261,16987,357,Der Himmel über Berlin / 欲望之翼(台) / Wings of Desire / The Sky Above Berlin,1987,西德 / 法国,剧情 / 爱情 / 奇幻,128分钟,[tt0093191](https://imdb.com/title/tt0093191)
333,电影,[全金属外壳 Full Metal Jacket](https://movie.douban.com/subject/1300055/),斯坦利·库布里克,斯坦利·库布里克 / 迈克尔·海尔 / 古斯塔夫·哈斯福德,马修·莫迪恩 / 亚当·鲍德温 / ...,🎉---,🌟8.6,136224,28998,327,Full Metal Jacket / 烈血焚城(港) / 金甲部队(台) / 金甲战士,1987,英国 / 美国,剧情 / 战争,116 分钟,[tt0093058](https://imdb.com/title/tt0093058)
334,电影,[岁月的童话 おもひでぽろぽろ](https://movie.douban.com/subject/1291588/),高畑勋,高畑勋,今井美树 / 柳叶敏郎 / ...,🎉---,🌟8.6,142546,37412,789,おもひでぽろぽろ / 岁月的童话(港) / 儿时的点点滴滴(台) / 回忆点点滴滴 / Only Yesterday,1991,日本,剧情 / 爱情 / 动画,118 分钟,[tt0102587](https://imdb.com/title/tt0102587)
335,电影,[阮玲玉](https://movie.douban.com/subject/1293414/),关锦鹏,焦雄屏 / 邱刚健,张曼玉 / 梁家辉 / ...,🎉---,🌟8.6,118571,36772,607,阮玲玉 / Center Stage / Actress / Yuen Ling Yuk / The New China Woman,1991,中国香港,剧情 / 爱情 / 传记,121分钟 / 154分钟(导演剪辑版),[tt0102816](https://imdb.com/title/tt0102816)
336,电影,[那年夏天，宁静的海 あの夏、いちばん静かな海。](https://movie.douban.com/subject/1295815/),北野武,北野武,真木藏人 / 大岛弘子 / ...,🎉---,🌟8.6,97167,30689,494,あの夏、いちばん静かな海。 / 那年夏天最宁静的海 / 夏日，在寂静的海边 / A Scene at the Sea,1991,日本,剧情 / 喜剧 / 爱情,101分钟,[tt0103704](https://imdb.com/title/tt0103704)
337,电影,[不一样的天空 What's Eating Gilbert Grape](https://movie.douban.com/subject/1301617/),拉斯·霍尔斯道姆,彼得·赫奇斯,约翰尼·德普 / 莱昂纳多·迪卡普里奥 / ...,🎉---,🌟8.6,142893,38240,561,What's Eating Gilbert Grape / 恋恋情深(台) / 什么吞噬着吉尔伯特·格雷普 / 吉尔伯特·格雷普在烦恼什么,1993,美国,剧情 / 爱情 / 家庭,118分钟,[tt0108550](https://imdb.com/title/tt0108550)
